"X","Y","FFMC","DMC","DC","ISI","temp","RH","wind","rain","area","month","day"
9,9,65.5,77.9,72.1,56.1,33.3,65.9,9.4,6.4,64.4,"feb","mon"
9,9,76,72.6,76.4,56.1,33.3,62.8,9.4,6.4,73.3,"oct","tue"
9,9,73.5,73,70.3,56.1,33.3,70.8,9.4,6.4,72.2,"apr","wed"
9,9,67.8,69.7,71.6,56.1,33.3,69.1,9.4,6.4,62.2,"mar","wed"
9,9,71.7,66.7,68.1,56.1,33.3,70.2,9.4,6.4,77.7,"jul","tue"
9,9,70.5,72.1,72.1,56.1,33.3,66.8,9.4,6.4,66.9,"nov","tue"
9,9,65.6,71.9,65.6,56.1,33.3,72,9.4,6.4,71.4,"dec","mon"
9,9,67.2,69,72.9,56.1,33.3,74.8,9.4,6.4,69.7,"aug","sat"
9,9,69.6,71.9,66.9,56.1,33.3,76.3,9.4,6.4,69.4,"jan","sun"
9,9,71.1,70.8,69.9,56.1,33.3,68.2,9.4,6.4,72.5,"oct","sat"
9,9,75.9,70.3,63,56.1,33.3,64.9,9.4,6.4,72.3,"jan","sat"
9,9,68,68.3,70.3,56.1,33.3,72,9.4,6.4,71.5,"apr","thu"
9,9,65.2,65.4,68.9,56.1,33.3,70.6,9.4,6.4,66.8,"jun","fri"
9,9,67.2,68.9,73.9,56.1,33.3,70.1,9.4,6.4,62.4,"nov","mon"
9,9,67.6,70.6,64.3,56.1,33.3,72.3,9.4,6.4,70.5,"nov","sun"
9,9,71.6,71.8,70.9,56.1,33.3,66.3,9.4,6.4,67.7,"may","wed"
9,9,72.4,68.4,70.9,56.1,33.3,72,9.4,6.4,68.5,"dec","wed"
9,9,70.2,66.8,73.6,56.1,33.3,66.1,9.4,6.4,63.7,"apr","thu"
9,9,61.3,69.2,68,56.1,33.3,71.6,9.4,6.4,67,"jan","sun"
9,9,67.7,78.3,69.5,56.1,33.3,74,9.4,6.4,71.8,"feb","fri"
9,9,59.7,64.3,76.8,56.1,33.3,65.1,9.4,6.4,70.8,"sep","sun"
9,9,80.2,65.6,68.7,56.1,33.3,66.3,9.4,6.4,73.2,"jan","mon"
9,9,67.4,70.6,74.7,56.1,33.3,66.9,9.4,6.4,70.9,"sep","sun"
9,9,73.8,68.6,74.8,56.1,33.3,67.5,9.4,6.4,71.2,"aug","tue"
9,9,71.4,69.8,77.8,56.1,33.3,63.2,9.4,6.4,63.8,"feb","mon"
9,9,75.4,70,74.7,56.1,33.3,68.3,9.4,6.4,66.8,"apr","fri"
9,9,75.5,74.1,64.9,56.1,33.3,71.3,9.4,6.4,69.6,"apr","mon"
9,9,69.4,67,70.7,56.1,33.3,65.7,9.4,6.4,66.5,"jun","tue"
9,9,70.1,66.1,72.7,56.1,33.3,66.4,9.4,6.4,75.9,"jun","sun"
9,9,67.4,73.4,63.3,56.1,33.3,75.7,9.4,6.4,67.2,"feb","wed"
9,9,75.2,69.6,61.4,56.1,33.3,67,9.4,6.4,75.7,"mar","mon"
9,9,65.1,63.2,69.5,56.1,33.3,68.2,9.4,6.4,66.5,"may","wed"
9,9,64.7,69.7,68.7,56.1,33.3,66.3,9.4,6.4,66.1,"feb","thu"
9,9,68.1,70.3,70.6,56.1,33.3,69.3,9.4,6.4,63.1,"jul","sun"
9,9,63.5,68.2,75.9,56.1,33.3,71.3,9.4,6.4,68.5,"mar","tue"
9,9,67.5,74,65.3,56.1,33.3,70.9,9.4,6.4,71.7,"mar","sun"
9,9,67.2,76.2,66.9,56.1,33.3,72.4,9.4,6.4,68,"dec","thu"
9,9,72.7,71.4,66.2,56.1,33.3,69.2,9.4,6.4,67.1,"jun","mon"
9,9,68.2,69.9,63.9,56.1,33.3,73.5,9.4,6.4,64.4,"mar","fri"
9,9,66,66.9,66.2,56.1,33.3,68.4,9.4,6.4,70.1,"jun","thu"
9,9,70.4,70.4,71.8,56.1,33.3,67.4,9.4,6.4,70,"sep","thu"
9,9,69.5,63.2,77.5,56.1,33.3,68.6,9.4,6.4,73.8,"jul","wed"
9,9,67.4,73.6,72.3,56.1,33.3,70.3,9.4,6.4,66.3,"feb","sun"
9,9,73.5,60,63.5,56.1,33.3,76.3,9.4,6.4,67.2,"aug","sun"
9,9,69.5,70,68.2,56.1,33.3,79.5,9.4,6.4,69.2,"dec","sun"
9,9,69.3,68.8,66.7,56.1,33.3,70.3,9.4,6.4,64.6,"jul","wed"
9,9,72.1,68.5,71.1,56.1,33.3,69.6,9.4,6.4,69.4,"oct","fri"
9,9,68,69.3,61.8,56.1,33.3,69.7,9.4,6.4,65.8,"may","tue"
9,9,70.8,63.7,69,56.1,33.3,70.8,9.4,6.4,66,"jun","fri"
9,9,73,66.2,64.1,56.1,33.3,74.7,9.4,6.4,63.4,"sep","mon"
9,9,73,62.3,68.2,56.1,33.3,71.4,9.4,6.4,71.2,"mar","wed"
9,9,69.5,70.1,66.4,56.1,33.3,60.4,9.4,6.4,64.8,"apr","thu"
9,9,66.6,68.7,71.4,56.1,33.3,70.3,9.4,6.4,56.4,"mar","thu"
9,9,75.3,73.3,69.3,56.1,33.3,66,9.4,6.4,72,"oct","tue"
9,9,70.8,73.2,61.4,56.1,33.3,76.8,9.4,6.4,66.6,"oct","sat"
9,9,67.9,64.5,67.3,56.1,33.3,68.3,9.4,6.4,69,"may","sun"
9,9,71.8,68.1,72.2,56.1,33.3,70.4,9.4,6.4,65.3,"feb","wed"
9,9,70.4,60.8,63.2,56.1,33.3,75.7,9.4,6.4,72,"apr","wed"
9,9,65.2,69.7,66.2,56.1,33.3,62.3,9.4,6.4,67.9,"dec","sat"
9,9,64.9,71.4,64.7,56.1,33.3,69.4,9.4,6.4,65.4,"mar","sat"
9,9,69.5,67.6,69.1,56.1,33.3,72.4,9.4,6.4,70,"nov","mon"
9,9,63.6,75.4,69.8,56.1,33.3,66,9.4,6.4,79.1,"nov","sun"
9,9,70.6,76.4,71.8,56.1,33.3,70.7,9.4,6.4,64.7,"may","sat"
9,9,69.3,67.1,69,56.1,33.3,67.5,9.4,6.4,71.8,"feb","sat"
9,9,73.1,73.1,63.5,56.1,33.3,65.7,9.4,6.4,73,"aug","fri"
9,9,72.9,64,66.8,56.1,33.3,61.7,9.4,6.4,72,"may","thu"
9,9,68.9,66.8,69.4,56.1,33.3,67.3,9.4,6.4,68.5,"jul","mon"
9,9,69.5,67.6,69.2,56.1,33.3,73.1,9.4,6.4,65.6,"jun","tue"
9,9,62.3,71.3,75.1,56.1,33.3,73.1,9.4,6.4,77.3,"dec","sat"
9,9,70.7,61.5,63.2,56.1,33.3,67.2,9.4,6.4,64.8,"jan","fri"
9,9,75.9,72.2,65.6,56.1,33.3,68.1,9.4,6.4,67.6,"oct","tue"
9,9,72.5,73.2,68.7,56.1,33.3,64.1,9.4,6.4,66.8,"jan","mon"
9,9,67.1,67.6,67.5,56.1,33.3,66.2,9.4,6.4,70.6,"dec","mon"
9,9,62.7,73,71.5,56.1,33.3,63.3,9.4,6.4,69.6,"dec","fri"
9,9,75.6,68.4,66.9,56.1,33.3,72.5,9.4,6.4,79,"jul","mon"
9,9,71.5,67.8,68.1,56.1,33.3,65.3,9.4,6.4,68.7,"aug","wed"
9,9,61.2,73.3,70.5,56.1,33.3,75.6,9.4,6.4,68.9,"mar","mon"
9,9,71.7,66.1,72.5,56.1,33.3,73.8,9.4,6.4,66.6,"dec","thu"
9,9,67.3,65.8,67,56.1,33.3,72.3,9.4,6.4,70.6,"feb","mon"
9,9,65.6,66.8,72.8,56.1,33.3,66.3,9.4,6.4,71.3,"jun","thu"
9,9,68.7,71.9,72.3,56.1,33.3,70.8,9.4,6.4,70.3,"jun","sun"
9,9,68.1,75.9,64.8,56.1,33.3,66,9.4,6.4,69.7,"mar","sat"
9,9,66.8,67.4,67.2,56.1,33.3,71.7,9.4,6.4,66.7,"jun","thu"
9,9,59.3,67.8,63.1,56.1,33.3,65.7,9.4,6.4,71.2,"nov","tue"
9,9,73.4,66.2,71.8,56.1,33.3,68.4,9.4,6.4,72.3,"dec","sat"
9,9,66.3,64.5,66.5,56.1,33.3,67.4,9.4,6.4,67.7,"apr","thu"
9,9,70.1,72.1,65.1,56.1,33.3,73,9.4,6.4,64.6,"jun","sat"
9,9,65.5,76,70.6,56.1,33.3,75.2,9.4,6.4,71.2,"aug","fri"
9,9,66.1,72.5,70.4,56.1,33.3,66.7,9.4,6.4,67.9,"may","sat"
9,9,73.8,67.8,69.1,56.1,33.3,81.6,9.4,6.4,66.5,"oct","tue"
9,9,62.7,77.5,68.2,56.1,33.3,65.5,9.4,6.4,61.9,"apr","thu"
9,9,70.2,68.5,66.1,56.1,33.3,66.9,9.4,6.4,67.8,"dec","sun"
9,9,76.6,71.9,75.5,56.1,33.3,71,9.4,6.4,63.7,"jul","sat"
9,9,58.2,65.9,69.3,56.1,33.3,69.7,9.4,6.4,65.2,"feb","mon"
9,9,66.4,68.7,63.7,56.1,33.3,60.2,9.4,6.4,74.3,"apr","sat"
9,9,71.8,67.7,66.7,56.1,33.3,60.4,9.4,6.4,64.1,"mar","sat"
9,9,68.7,76.7,73.8,56.1,33.3,70.7,9.4,6.4,66.2,"apr","sat"
9,9,67.6,74.2,67.2,56.1,33.3,65.3,9.4,6.4,67.1,"oct","tue"
9,9,67.7,70.7,67.9,56.1,33.3,72.7,9.4,6.4,62.4,"dec","mon"
9,9,71,67.4,70.6,56.1,33.3,64.7,9.4,6.4,71.6,"feb","wed"
9,9,69.1,65.2,75.8,56.1,33.3,64.2,9.4,6.4,71.3,"may","wed"
9,9,76.2,64.3,70,56.1,33.3,66.8,9.4,6.4,73,"aug","tue"
9,9,67,67.7,67.1,56.1,33.3,65.2,9.4,6.4,69.4,"feb","sun"
9,9,70.2,63.8,70.1,56.1,33.3,74.9,9.4,6.4,63.9,"feb","mon"
9,9,73,63.7,68.5,56.1,33.3,77.8,9.4,6.4,72.1,"nov","wed"
9,9,67.6,72,75.3,56.1,33.3,64,9.4,6.4,65.7,"may","mon"
9,9,75.2,66.3,67.6,56.1,33.3,71.7,9.4,6.4,66.6,"jun","sun"
9,9,65.9,65,69.2,56.1,33.3,66.1,9.4,6.4,60.4,"apr","sat"
9,9,69.8,71.2,70.5,56.1,33.3,68.9,9.4,6.4,78,"jan","tue"
9,9,63.2,69.7,66.9,56.1,33.3,68.4,9.4,6.4,64.5,"mar","fri"
9,9,70,74.5,66.1,56.1,33.3,74.7,9.4,6.4,64.8,"apr","wed"
9,9,73.5,69.9,68.4,56.1,33.3,64.6,9.4,6.4,68.3,"jan","mon"
9,9,75.4,67.9,66.4,56.1,33.3,68.9,9.4,6.4,68,"may","sat"
9,9,62.4,70.5,71.8,56.1,33.3,71.8,9.4,6.4,67.5,"jun","wed"
9,9,73.1,69.1,71.2,56.1,33.3,68.5,9.4,6.4,66.6,"mar","sat"
9,9,65.1,72.7,70.9,56.1,33.3,69.5,9.4,6.4,63.2,"may","fri"
9,9,66,71.6,70.3,56.1,33.3,65.7,9.4,6.4,68.3,"aug","sun"
9,9,70.1,74.7,74,56.1,33.3,71,9.4,6.4,74,"oct","thu"
9,9,69.9,63.6,74.1,56.1,33.3,61.9,9.4,6.4,70.6,"jan","thu"
9,9,68.7,67.1,75.4,56.1,33.3,73.1,9.4,6.4,68.7,"nov","sun"
9,9,72.7,69.9,76.4,56.1,33.3,65.2,9.4,6.4,76.1,"dec","wed"
9,9,65.9,69.7,70.2,56.1,33.3,73.4,9.4,6.4,66.3,"nov","sun"
9,9,64.9,73.5,61.9,56.1,33.3,62.7,9.4,6.4,68.8,"oct","thu"
9,9,70.8,67.6,61.1,56.1,33.3,70.8,9.4,6.4,66.9,"jan","mon"
9,9,67.6,68.2,70.9,56.1,33.3,79.4,9.4,6.4,68,"jul","sun"
9,9,73.2,69.9,66.8,56.1,33.3,66.4,9.4,6.4,66.4,"sep","wed"
9,9,68.8,66.3,66.9,56.1,33.3,69.1,9.4,6.4,69,"dec","sat"
9,9,68.4,66.9,71.3,56.1,33.3,64.8,9.4,6.4,65.1,"mar","wed"
9,9,71.3,67.1,69.7,56.1,33.3,70.5,9.4,6.4,64.2,"feb","sat"
9,9,68.6,73.6,69.5,56.1,33.3,72.2,9.4,6.4,72,"jul","wed"
9,9,71.4,70,71.1,56.1,33.3,66.7,9.4,6.4,66.3,"feb","mon"
9,9,63.9,63,68.7,56.1,33.3,62.8,9.4,6.4,71.7,"apr","wed"
9,9,62.9,67.2,74.7,56.1,33.3,71.6,9.4,6.4,72.8,"sep","thu"
9,9,59,73.5,68.9,56.1,33.3,67.1,9.4,6.4,68.8,"nov","mon"
9,9,68.6,63.7,61.8,56.1,33.3,69.6,9.4,6.4,71.8,"jul","sat"
9,9,70.2,63.8,72.1,56.1,33.3,64.5,9.4,6.4,73.1,"may","tue"
9,9,68.5,62.6,67.4,56.1,33.3,71.5,9.4,6.4,67.8,"aug","thu"
9,9,67.4,76.4,72.6,56.1,33.3,68.1,9.4,6.4,64.2,"jun","sat"
9,9,69.7,69.2,74.3,56.1,33.3,73.4,9.4,6.4,71.3,"feb","sun"
9,9,70,72.5,62.2,56.1,33.3,66.8,9.4,6.4,63.3,"apr","thu"
9,9,68,68.3,65.7,56.1,33.3,67.4,9.4,6.4,72.6,"may","fri"
9,9,69.1,67,70.4,56.1,33.3,71.6,9.4,6.4,68.6,"aug","thu"
9,9,70.3,65.6,72.9,56.1,33.3,67,9.4,6.4,77.4,"nov","fri"
9,9,73.2,67.3,69,56.1,33.3,70,9.4,6.4,70.3,"aug","thu"
9,9,70.4,69,67.5,56.1,33.3,71.7,9.4,6.4,67.4,"oct","fri"
9,9,66.7,68.5,72.3,56.1,33.3,68,9.4,6.4,73.3,"mar","thu"
9,9,67.7,72.4,65.6,56.1,33.3,71.2,9.4,6.4,65.6,"may","tue"
9,9,65.2,71.8,71.8,56.1,33.3,65.9,9.4,6.4,69.9,"oct","tue"
9,9,68.5,64.7,71.2,56.1,33.3,68.2,9.4,6.4,62.2,"aug","thu"
9,9,63.5,63,73.8,56.1,33.3,73.4,9.4,6.4,73.6,"may","wed"
9,9,67.3,70.5,71.9,56.1,33.3,68.3,9.4,6.4,70.6,"may","thu"
9,9,65.7,66,67.8,56.1,33.3,72.6,9.4,6.4,71.5,"dec","fri"
9,9,66.7,67,68.7,56.1,33.3,67.3,9.4,6.4,73.1,"aug","thu"
9,9,61,63.7,66.7,56.1,33.3,71.3,9.4,6.4,72.9,"sep","mon"
9,9,71,74.8,66.2,56.1,33.3,67.2,9.4,6.4,66.2,"jan","fri"
9,9,70.9,62.8,64.8,56.1,33.3,72.8,9.4,6.4,74.9,"dec","sun"
9,9,66,66.1,71.7,56.1,33.3,76.7,9.4,6.4,69,"oct","tue"
9,9,75.7,67.6,70.4,56.1,33.3,68.7,9.4,6.4,62.7,"apr","wed"
9,9,72.7,60,73.2,56.1,33.3,67,9.4,6.4,71.3,"feb","thu"
9,9,72.6,69.1,64.6,56.1,33.3,64.4,9.4,6.4,69.9,"sep","sat"
9,9,68.8,69.5,66.2,56.1,33.3,64.9,9.4,6.4,71,"aug","sat"
9,9,69.6,70.4,69.8,56.1,33.3,71,9.4,6.4,67.4,"may","mon"
9,9,70.8,69.6,69,56.1,33.3,63.1,9.4,6.4,67,"oct","mon"
9,9,67,66,72.5,56.1,33.3,77.1,9.4,6.4,73.3,"jun","thu"
9,9,63.1,75.6,77.5,56.1,33.3,70.6,9.4,6.4,69.2,"jan","thu"
9,9,65.9,66.8,71.5,56.1,33.3,69,9.4,6.4,70.5,"mar","tue"
9,9,63.1,71.1,71.2,56.1,33.3,71.2,9.4,6.4,68.6,"feb","thu"
9,9,66.5,73.9,73.1,56.1,33.3,68.8,9.4,6.4,64,"mar","sat"
9,9,71.7,70,71.5,56.1,33.3,69.8,9.4,6.4,70.9,"sep","wed"
9,9,70.2,67.5,60.5,56.1,33.3,67.8,9.4,6.4,66.3,"oct","wed"
9,9,68.7,64.5,69.8,56.1,33.3,71.8,9.4,6.4,66.9,"sep","fri"
9,9,68.7,65.8,68.3,56.1,33.3,66.1,9.4,6.4,72.8,"jun","mon"
9,9,73.2,74.4,77.5,56.1,33.3,68.3,9.4,6.4,64.8,"jun","fri"
9,9,76,71.3,69.3,56.1,33.3,68.8,9.4,6.4,73.2,"dec","sun"
9,9,73.5,73.4,66,56.1,33.3,69.9,9.4,6.4,75.4,"jan","sun"
9,9,71.4,71.4,70.8,56.1,33.3,75.1,9.4,6.4,69.7,"nov","sun"
9,9,75.1,68,73.9,56.1,33.3,65.9,9.4,6.4,70,"feb","mon"
9,9,63.8,70.5,68.7,56.1,33.3,69.3,9.4,6.4,68.9,"jan","tue"
9,9,66,67.1,63.9,56.1,33.3,69.8,9.4,6.4,70.7,"apr","thu"
9,9,67.2,59.9,71.6,56.1,33.3,71.9,9.4,6.4,64.6,"jun","fri"
9,9,65.3,67.3,68,56.1,33.3,72.3,9.4,6.4,70.3,"sep","mon"
9,9,69.3,64.1,76.7,56.1,33.3,69.7,9.4,6.4,70.9,"aug","fri"
9,9,71.6,61.8,67.4,56.1,33.3,70.9,9.4,6.4,80.3,"mar","tue"
9,9,70.7,76.7,73.1,56.1,33.3,67.9,9.4,6.4,69.6,"nov","tue"
9,9,74.7,69.1,69.3,56.1,33.3,66.2,9.4,6.4,61.4,"aug","fri"
9,9,73,69.6,72.5,56.1,33.3,66.5,9.4,6.4,65.6,"dec","wed"
9,9,67.9,64.3,71.6,56.1,33.3,70.4,9.4,6.4,70.3,"aug","sat"
9,9,76.2,63.4,70.4,56.1,33.3,64.5,9.4,6.4,67.7,"jun","sat"
9,9,64,71.5,70.6,56.1,33.3,70.2,9.4,6.4,61.8,"may","fri"
9,9,72.5,61.8,70.6,56.1,33.3,63.5,9.4,6.4,70.6,"nov","fri"
9,9,66.5,68.9,67.4,56.1,33.3,72.1,9.4,6.4,66.2,"dec","thu"
9,9,72.1,74,68.7,56.1,33.3,61.6,9.4,6.4,64.7,"dec","mon"
9,9,70.3,67.2,72.4,56.1,33.3,70.2,9.4,6.4,66.2,"jul","sat"
9,9,69.4,73,63.2,56.1,33.3,67.8,9.4,6.4,68.1,"apr","sat"
9,9,74.1,72.6,73,56.1,33.3,67.9,9.4,6.4,70.3,"dec","fri"
9,9,67,63.9,72.2,56.1,33.3,67.2,9.4,6.4,69.9,"jul","tue"
9,9,67.7,68.9,66,56.1,33.3,66.5,9.4,6.4,65.8,"jul","sat"
9,9,63.1,75.2,67.3,56.1,33.3,70.4,9.4,6.4,69.3,"feb","thu"
9,9,74.8,68,67.7,56.1,33.3,68.8,9.4,6.4,69.8,"dec","wed"
9,9,72.5,70.9,69.5,56.1,33.3,74.6,9.4,6.4,62.1,"nov","thu"
9,9,75.3,67.3,64.7,56.1,33.3,69.3,9.4,6.4,71.8,"apr","wed"
9,9,73.2,68.2,64.9,56.1,33.3,69.1,9.4,6.4,64.1,"oct","sun"
9,9,61.6,67.9,72.6,56.1,33.3,69.1,9.4,6.4,65.1,"sep","mon"
9,9,69.5,69,69.7,56.1,33.3,72.1,9.4,6.4,72.1,"jun","wed"
9,9,73.2,65.2,69.6,56.1,33.3,62.2,9.4,6.4,61.3,"feb","sat"
9,9,72.6,76.4,65.9,56.1,33.3,67.5,9.4,6.4,68.8,"oct","fri"
9,9,68.9,69.3,68.5,56.1,33.3,63.5,9.4,6.4,69.1,"dec","tue"
9,9,69.2,68.1,65.2,56.1,33.3,73.7,9.4,6.4,68.4,"nov","tue"
9,9,73.2,66.3,79.7,56.1,33.3,72.4,9.4,6.4,69.4,"aug","wed"
9,9,66.7,68.3,71.7,56.1,33.3,71.9,9.4,6.4,58.8,"apr","wed"
9,9,72.4,65.9,67.5,56.1,33.3,67.8,9.4,6.4,67.4,"dec","sun"
9,9,66.3,72.9,62.6,56.1,33.3,76.5,9.4,6.4,61.2,"aug","wed"
9,9,70.1,75.4,67.8,56.1,33.3,69.8,9.4,6.4,65.9,"dec","mon"
9,9,69.6,68.5,65.1,51.1,33.3,66,9.4,6.4,76.2,"jan","tue"
9,9,71.5,64.2,74.2,56.1,33.3,68.9,9.4,6.4,71.1,"oct","fri"
9,9,67.2,68.5,68.1,56.1,33.3,69.6,9.4,6.4,73.1,"nov","fri"
9,9,71.6,62.9,67.3,56.1,33.3,66.6,9.4,6.4,70.5,"jan","mon"
9,9,67.9,65.3,66.9,56.1,33.3,66.4,9.4,6.4,67.3,"jun","fri"
9,9,63.5,77.4,73.6,56.1,33.3,69,9.4,6.4,69.9,"jan","sat"
9,9,66,76.5,73.6,56.1,33.3,62.8,9.4,6.4,65.2,"feb","wed"
9,9,64.7,64.7,66.3,56.1,33.3,71.7,9.4,6.4,74.4,"nov","sat"
9,9,74.4,70.5,70.9,56.1,33.3,67.3,9.4,6.4,72,"sep","thu"
9,9,80.1,63.8,72.5,56.1,33.3,66.4,9.4,6.4,71.2,"feb","wed"
9,9,75.3,71.6,64.7,56.1,33.3,70.4,9.4,6.4,69.9,"sep","tue"
9,9,70.5,63.6,70.7,56.1,33.3,74.4,9.4,6.4,68.8,"nov","wed"
9,9,69.9,70,73.8,56.1,33.3,65,9.4,6.4,73.9,"nov","tue"
9,9,71.6,70.4,69.7,56.1,33.3,65.4,9.4,6.4,67.1,"mar","thu"
9,9,67.4,77.5,71.4,56.1,33.3,69.2,9.4,6.4,64.2,"aug","sun"
9,9,70.2,71.1,69.4,56.1,33.3,62.6,9.4,6.4,67.8,"jul","fri"
9,9,66.4,67.3,61.4,56.1,33.3,67.1,9.4,6.4,73.3,"jun","sat"
9,9,64.9,67.1,67.8,56.1,33.3,71,9.4,6.4,67.3,"apr","tue"
9,9,64.6,67.5,68.3,56.1,33.3,70,9.4,6.4,72.5,"feb","thu"
9,9,68.8,67.6,68,56.1,33.3,69.9,9.4,6.4,69.9,"may","fri"
9,9,73.7,72.3,69.5,56.1,33.3,64.9,9.4,6.4,71.5,"oct","sun"
9,9,74.1,69.3,63.9,56.1,33.3,71.9,9.4,6.4,68.1,"dec","sat"
9,9,64.2,63.5,64.5,56.1,33.3,68.4,9.4,6.4,68.8,"dec","tue"
9,9,66.3,66.3,67.9,56.1,33.3,68.8,9.4,6.4,72.3,"may","wed"
9,9,68.5,71.4,63.5,56.1,33.3,62.9,9.4,6.4,60.4,"may","tue"
9,9,66.9,64.4,75.4,56.1,33.3,66.9,9.4,6.4,64.1,"jan","tue"
9,9,71,71.6,74.9,56.1,33.3,72.8,9.4,6.4,61.6,"dec","fri"
9,9,69.5,67.1,65.2,56.1,33.3,65.4,9.4,6.4,72.1,"aug","mon"
9,9,71.9,65.3,68.9,56.1,33.3,70,9.4,6.4,69.9,"jun","wed"
9,9,69.2,64.7,65.7,56.1,33.3,67.1,9.4,6.4,71.7,"jan","sat"
9,9,66.1,74.1,67.4,56.1,33.3,77,9.4,6.4,65.3,"aug","sat"
9,9,69.2,68.5,68.6,56.1,33.3,67.6,9.4,6.4,74.9,"may","wed"
9,9,75.3,73.3,71.7,56.1,33.3,62.8,9.4,6.4,72.5,"jun","tue"
9,9,69.5,73.8,66.6,56.1,33.3,64.4,9.4,6.4,66.2,"jun","mon"
9,9,69.5,71.2,74.7,56.1,33.3,67.8,9.4,6.4,62,"dec","mon"
9,9,73.6,63.3,67.8,56.1,33.3,63.8,9.4,6.4,69.2,"aug","mon"
9,9,68.1,69.7,72.4,56.1,33.3,72.8,9.4,6.4,69,"apr","mon"
9,9,68.9,70.5,71.2,56.1,33.3,71.7,9.4,6.4,66.9,"mar","sun"
9,9,63.7,74.7,67.1,56.1,33.3,68.5,9.4,6.4,76,"oct","sun"
9,9,64.4,69.9,67.3,56.1,33.3,68.5,9.4,6.4,70.8,"jun","tue"
9,9,69.7,77.2,69.8,56.1,33.3,71.5,9.4,6.4,69.3,"dec","thu"
9,9,69.8,74.5,73.1,56.1,33.3,68.9,9.4,6.4,74.2,"nov","fri"
9,9,67.9,74.1,71.6,56.1,33.3,64.6,9.4,6.4,68.9,"aug","sun"
9,9,72.5,67.3,66.9,56.1,33.3,67.5,9.4,6.4,61.5,"may","sun"
9,9,70.3,69.5,63,56.1,33.3,62.7,9.4,6.4,74.4,"apr","wed"
9,9,67.1,65.6,74.8,56.1,33.3,66.8,9.4,6.4,70.4,"sep","thu"
9,9,66.8,69.4,69.2,56.1,33.3,68.5,9.4,6.4,69.9,"jun","thu"
9,9,66.9,66.8,69.6,56.1,33.3,76.4,9.4,6.4,66.4,"dec","wed"
9,9,66.7,69.9,64.6,56.1,33.3,70,9.4,6.4,68.1,"oct","fri"
9,9,73.7,66.2,61.1,56.1,33.3,66.8,9.4,6.4,68.7,"feb","sun"
9,9,65.2,62.8,65.8,56.1,33.3,65.1,9.4,6.4,69.7,"aug","thu"
9,9,67.3,66.1,71.3,56.1,33.3,71.1,9.4,6.4,70,"aug","sat"
9,9,69.9,72.5,65.7,56.1,33.3,68.3,9.4,6.4,69.4,"nov","wed"
9,9,70.3,67.5,74.5,56.1,33.3,68.7,9.4,6.4,71.9,"apr","fri"
9,9,73.4,77.2,65.5,56.1,33.3,70.5,9.4,6.4,66.2,"sep","tue"
9,9,71.2,71.2,68.3,56.1,33.3,68.1,9.4,6.4,76.3,"apr","wed"
9,9,69.4,66.5,70.5,56.1,33.3,62.9,9.4,6.4,74.4,"oct","sun"
9,9,63.3,78.4,68.9,56.1,33.3,69.8,9.4,6.4,69.6,"jun","sun"
9,9,75.1,73.8,67.1,56.1,33.3,68.8,9.4,6.4,64.1,"nov","sun"
9,9,67,72.2,68.4,56.1,33.3,67.1,9.4,6.4,64.2,"nov","tue"
9,9,65.3,69.9,61.7,56.1,33.3,71.2,9.4,6.4,68.7,"may","mon"
9,9,69.6,75.6,64.5,56.1,33.3,71,9.4,6.4,71.5,"apr","tue"
9,9,68.7,71.9,75.4,56.1,33.3,64.7,9.4,6.4,65.5,"mar","thu"
9,9,74.1,69.9,74,56.1,33.3,71,9.4,6.4,68.9,"apr","sun"
9,9,73.4,66.5,68,56.1,33.3,70,9.4,6.4,64.1,"sep","wed"
9,9,70.5,64.9,73.1,56.1,33.3,63,9.4,6.4,66.4,"jan","tue"
9,9,70.6,69.4,72.1,56.1,33.3,65.7,9.4,6.4,69.9,"nov","sun"
9,9,76.6,67.7,68.4,56.1,33.3,71.2,9.4,6.4,70,"mar","fri"
9,9,71.2,77.3,59.2,56.1,33.3,73.4,9.4,6.4,72.8,"sep","fri"
9,9,68.8,69.3,65.6,56.1,33.3,67.9,9.4,6.4,72.3,"feb","wed"
9,9,80.5,69.5,67.2,56.1,33.3,68.9,9.4,6.4,69.2,"mar","fri"
9,9,73,74.4,67.1,56.1,33.3,63.7,9.4,6.4,69.5,"aug","fri"
9,9,70.6,76.7,63.3,56.1,33.3,70.3,9.4,6.4,72.7,"oct","mon"
9,9,64.7,66.8,70.4,56.1,33.3,69.3,9.4,6.4,67.3,"aug","fri"
9,9,73.9,73.4,65.6,56.1,33.3,77.5,9.4,6.4,63.5,"apr","mon"
9,9,80.7,76.8,70.9,56.1,33.3,73.4,9.4,6.4,77.7,"aug","wed"
9,9,74.7,68.2,69.9,56.1,33.3,70.2,9.4,6.4,69.8,"aug","sun"
9,9,68.6,70.8,70.1,56.1,33.3,68.1,9.4,6.4,69.4,"jul","tue"
9,9,68.6,72.4,75.6,56.1,33.3,75.4,9.4,6.4,70.1,"jun","thu"
9,9,73.1,67.8,65.2,56.1,33.3,70.1,9.4,6.4,71.1,"jun","mon"
9,9,72.8,72.5,66.5,56.1,33.3,75.5,9.4,6.4,71.4,"jan","tue"
9,9,62.1,64.8,63.3,56.1,33.3,70.7,9.4,6.4,62.1,"oct","sun"
9,9,64,69.1,71,56.1,33.3,70.5,9.4,6.4,71.7,"apr","mon"
